rebalance_date,symbol,target_weight,rank,momentum_score
2024-05-24,159915.SZ,0.25,4,0.13591377620009792
2024-05-31,510300.SH,0.25,1,0.3075957735007903
2024-05-31,159928.SZ,0.25,2,0.307583486229171
2024-05-31,510500.SH,0.25,3,0.15229176073210596
2024-05-31,512660.SH,0.25,4,0.1512829059064497
2024-06-07,510300.SH,0.25,1,0.2399889540541852
2024-06-07,159928.SZ,0.25,2,0.22444274328752323
2024-06-07,512660.SH,0.25,3,0.17927071326599547
2024-06-07,510500.SH,0.25,4,0.13039558389829115
2024-06-14,510300.SH,0.25,1,0.16037305084218623
2024-06-14,512660.SH,0.25,2,0.14115804641687338
2024-06-14,159928.SZ,0.25,3,0.10307667164754263
2024-06-14,159915.SZ,0.25,4,0.0759679740225871
2024-06-21,512660.SH,0.25,1,0.08975682668092061
2024-06-21,510300.SH,0.25,2,0.08123477389918879
2024-06-21,159915.SZ,0.25,3,0.021054945923158642
2024-06-21,510500.SH,0.25,4,0.019548956788794977
2024-06-28,510300.SH,0.25,1,0.014376203526758136
2024-06-28,512660.SH,0.25,2,0.007894508653634506
2024-06-28,159915.SZ,0.25,3,-5.810621186363608e-05
2024-06-28,510500.SH,0.25,4,-0.0005524385862781875
2024-07-05,510300.SH,0.25,1,0.00026311578333036934
2024-07-05,512660.SH,0.25,2,-3.1782472227880853e-06
2024-07-05,159915.SZ,0.25,3,-0.01937118784234291
2024-07-05,159928.SZ,0.25,4,-0.02359929260892571
2024-07-12,510300.SH,0.25,1,-0.0006284456171585852
2024-07-12,512660.SH,0.25,2,-0.005601781420304472
2024-07-12,510500.SH,0.25,3,-0.07408106183698275
2024-07-12,159915.SZ,0.25,4,-0.07428480277628122
2024-07-19,510300.SH,0.25,1,-0.001006128474814856
2024-07-19,512660.SH,0.25,2,-0.00880553583927112
2024-07-19,159915.SZ,0.25,3,-0.10772887009070459
2024-07-19,510500.SH,0.25,4,-0.11446226596803943
2024-07-26,510300.SH,0.25,1,-0.003061107960353339
2024-07-26,512660.SH,0.25,2,-0.007140938023287306
2024-07-26,588000.SH,0.25,3,-0.10666124940659191
2024-07-26,159915.SZ,0.25,4,-0.12581111866342007
2024-08-02,512660.SH,0.25,1,-0.00019715052896184163
2024-08-02,510300.SH,0.25,2,-0.007476055764004432
2024-08-02,588000.SH,0.25,3,-0.06662506687148535
2024-08-02,512880.SH,0.25,4,-0.1234203831144066
2024-08-09,512660.SH,0.25,1,-0.00018068562659857116
2024-08-09,510300.SH,0.25,2,-0.030505462096177022
2024-08-09,588000.SH,0.25,3,-0.06499249489036553
2024-08-09,512880.SH,0.25,4,-0.09780425961593478
2024-08-16,512660.SH,0.25,1,-0.0008408187159262056
2024-08-16,510300.SH,0.25,2,-0.05664988632440872
2024-08-16,588000.SH,0.25,3,-0.06829071889225687
2024-08-16,512880.SH,0.25,4,-0.07548742005991971
2024-08-23,512660.SH,0.25,1,-0.01915518036758993
2024-08-23,512880.SH,0.25,2,-0.08981225609603531
2024-08-23,588000.SH,0.25,3,-0.10158048841780719
2024-08-23,510300.SH,0.25,4,-0.10729262504627816
2024-08-30,512660.SH,0.25,1,-0.07127041592820099
2024-08-30,512880.SH,0.25,2,-0.109003836627747
2024-08-30,588000.SH,0.25,3,-0.15179109352461606
2024-08-30,510300.SH,0.25,4,-0.15543110006068073
2024-09-06,512880.SH,0.25,1,-0.09597630620450753
2024-09-06,512660.SH,0.25,2,-0.12027646518696185
2024-09-06,588000.SH,0.25,3,-0.20055610621996142
2024-09-06,510300.SH,0.25,4,-0.21113728677357863
2024-09-13,512880.SH,0.25,1,-0.05619128422166876
2024-09-13,512660.SH,0.25,2,-0.14615781604045044
2024-09-13,588000.SH,0.25,3,-0.2143112068895645
2024-09-13,510300.SH,0.25,4,-0.23377337870074502
2024-09-20,512880.SH,0.25,1,-0.03015315357713361
2024-09-20,512660.SH,0.25,2,-0.15391834127689502
2024-09-20,588000.SH,0.25,3,-0.22580350809967806
2024-09-20,510300.SH,0.25,4,-0.2398586780100165
2024-09-27,512880.SH,0.25,1,2.720946713592254e-05
2024-09-27,510300.SH,0.25,2,-0.10988839225975822
2024-09-27,512660.SH,0.25,3,-0.11706384740399114
2024-09-27,512010.SH,0.25,4,-0.14664055698991235
2024-09-30,512880.SH,0.25,1,0.0027114228288370634
2024-09-30,510300.SH,0.25,2,-0.0410817671677093
2024-09-30,512660.SH,0.25,3,-0.06916022791040928
2024-09-30,512010.SH,0.25,4,-0.0750741688702327
2024-10-11,512880.SH,0.25,1,0.07933004861759096
2024-10-11,588000.SH,0.25,2,-3.465515936140205e-05
2024-10-11,510300.SH,0.25,3,-7.972764837157536e-05
2024-10-11,512010.SH,0.25,4,-0.0006360408659080633
2024-10-18,512880.SH,0.25,1,0.3139790233638066
2024-10-18,588000.SH,0.25,2,0.010313660053118021
2024-10-18,159915.SZ,0.25,3,0.004889278161676681
2024-10-18,510300.SH,0.25,4,0.004780275464895416
2024-10-25,512880.SH,0.25,1,0.6988233906182365
