trade_date,symbol,open,high,low,close,volume,amount,adj_factor
2024-08-27,159949.SZ,0.667,0.668,0.661,0.664,4141113.0,274942950.1,
2024-08-28,159949.SZ,0.662,0.665,0.658,0.664,4032924.0,266816744.5,
2024-08-29,159949.SZ,0.66,0.671,0.653,0.667,6784893.0,449696748.6,
2024-08-30,159949.SZ,0.666,0.694,0.666,0.685,11600889.0,793948478.466,
2024-09-02,159949.SZ,0.683,0.686,0.665,0.666,8657018.0,582785544.5,
2024-09-03,159949.SZ,0.665,0.677,0.664,0.673,6947340.0,466800260.564,
2024-09-04,159949.SZ,0.668,0.68,0.666,0.674,5501861.0,370346079.9,
2024-09-05,159949.SZ,0.674,0.683,0.673,0.677,5685587.0,385526561.4,
2024-09-06,159949.SZ,0.678,0.679,0.666,0.667,5134279.0,344552342.6,
2024-09-09,159949.SZ,0.662,0.672,0.661,0.669,5258486.0,350231466.014,
2024-09-10,159949.SZ,0.669,0.673,0.661,0.668,5812055.0,387264715.471,
2024-09-11,159949.SZ,0.667,0.679,0.666,0.677,7997761.0,539804041.754,
2024-09-12,159949.SZ,0.68,0.687,0.676,0.677,5424514.0,369674945.4,
2024-09-13,159949.SZ,0.678,0.68,0.671,0.672,5280849.0,356125979.8,
2024-09-18,159949.SZ,0.67,0.674,0.666,0.671,4341346.0,290664479.3,
2024-09-19,159949.SZ,0.673,0.684,0.664,0.676,8414667.0,567573747.7,
2024-09-20,159949.SZ,0.674,0.676,0.666,0.672,6666194.0,446741186.3,
2024-09-23,159949.SZ,0.672,0.677,0.669,0.67,5358805.0,360575074.175,
2024-09-24,159949.SZ,0.676,0.711,0.671,0.711,16959336.0,1175990195.259,
2024-09-25,159949.SZ,0.726,0.74,0.721,0.722,16374765.0,1193901515.607,
2024-09-26,159949.SZ,0.719,0.755,0.714,0.754,14419651.0,1058278346.029,
2024-09-27,159949.SZ,0.769,0.852,0.769,0.841,34053746.0,2758828013.558,
2024-09-30,159949.SZ,0.899,1.009,0.871,1.009,44802735.0,4223698800.059,
2024-10-08,159949.SZ,1.211,1.211,1.05,1.211,121314707.0,14187470961.129,
2024-10-09,159949.SZ,1.11,1.146,1.021,1.023,85922902.0,9243847242.359,
2024-10-10,159949.SZ,1.02,1.045,0.969,0.989,46027154.0,4624469537.013,
2024-10-11,159949.SZ,0.97,0.979,0.92,0.936,41061080.0,3889081957.482,
2024-10-14,159949.SZ,0.945,0.968,0.919,0.963,35590980.0,3367152747.825,
2024-10-15,159949.SZ,0.954,0.972,0.93,0.93,28880780.0,2745326206.12,
2024-10-16,159949.SZ,0.904,0.928,0.901,0.906,27891763.0,2542351356.922,
2024-10-17,159949.SZ,0.916,0.927,0.904,0.904,20817985.0,1907632397.576,
